,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
27,Haines Junction,48,CA,1550869075,77,60.75,-137.51,4.51,2.95
28,Awbari,92,LY,1550869076,40,26.59,12.77,59.64,9.55
29,Pacific Grove,1,US,1550869078,37,36.62,-121.92,55.4,6.93
30,Punta Arenas,75,CL,1550869079,81,-53.16,-70.91,44.6,10.29
31,Kieta,32,PG,1550869080,92,-6.22,155.63,81.69,0.94
32,Rieti,0,IT,1550869083,62,42.4,12.86,32.0,39.15
33,Necochea,92,AR,1550869084,83,-38.55,-58.74,70.44,10.67
34,Tadine,88,NC,1550869088,100,-21.55,167.88,79.57,14.58
35,Voyvozh,0,RU,1550869090,70,62.89,54.96,-2.11,7.54
36,Bathsheba,20,BB,1550869091,58,13.22,-59.52,82.4,20.8
37,Tuatapere,88,NZ,1550869092,100,-46.13,167.69,50.55,4.41
38,Vaini,0,IN,1550869094,40,15.34,74.49,72.64,5.64
39,Comodoro Rivadavia,0,AR,1550869095,41,-45.87,-67.48,59.0,13.87
40,Cidreira,12,BR,1550869097,65,-30.17,-50.22,83.44,8.55
41,Ponta do Sol,44,BR,1550869099,65,-20.63,-46.0,81.24,4.41
42,Atuona,76,PF,1550869100,100,-9.8,-139.03,81.69,11.12
43,Hobart,75,AU,1550869102,66,-42.88,147.33,55.4,14.99
44,Gizo,20,IL,1550869103,81,31.8,34.94,55.4,3.36
45,Rikitea,8,PF,1550869114,99,-23.12,-134.97,80.56,13.8
46,Iqaluit,40,CA,1550869119,61,63.75,-68.52,-18.41,12.75
47,Barrow,92,AR,1550869121,81,-38.31,-60.23,69.54,9.1
48,Birjand,0,IR,1550869123,51,32.86,59.22,37.4,11.41
49,Clyde River,20,CA,1550869124,68,70.47,-68.59,-14.81,9.17
50,Ushuaia,75,AR,1550869125,52,-54.81,-68.31,46.4,12.75
51,Panaba,8,MX,1550869128,50,21.28,-88.27,88.93,13.8
52,Carnarvon,32,ZA,1550869129,20,-30.97,22.13,72.6,11.56
53,Atakpame,44,TG,1550869137,53,7.53,1.13,77.19,2.06
54,Yarmouth,75,GB,1550869138,93,50.71,-1.5,42.8,3.36
55,Bredasdorp,0,ZA,1550869139,73,-34.53,20.04,71.6,9.17
56,Itarare,44,BR,1550869140,94,-24.11,-49.33,74.04,5.64
57,Mount Isa,0,AU,1550869142,59,-20.73,139.49,64.4,6.2
58,Talnakh,56,RU,1550869143,78,69.49,88.39,4.11,7.43
59,Ashland,1,US,1550869144,48,38.48,-82.64,44.6,3.36
60,Saint-Denis,0,FR,1550869146,76,48.94,2.36,53.6,4.7
61,Yumen,48,CN,1550869147,78,40.29,97.04,14.46,2.51
62,Yellowknife,75,CA,1550869148,70,62.45,-114.38,-2.21,11.41
63,Hilo,75,US,1550869149,74,19.71,-155.08,78.8,6.93
64,Bethel,90,US,1550869151,90,60.79,-161.76,32.0,20.8
65,Kalemie,68,CD,1550869152,100,-5.95,29.2,72.42,15.14
66,Kaitangata,92,NZ,1550869153,92,-46.28,169.85,49.65,8.21
67,Mao,40,DO,1550869155,51,19.55,-71.08,86.0,18.34
68,Cockburn Town,12,TC,1550869157,96,21.46,-71.14,78.36,22.3
69,Arraial do Cabo,0,BR,1550869158,88,-22.97,-42.02,86.0,13.87
70,Puerto Ayora,20,EC,1550869159,66,-0.74,-90.35,86.0,10.29
71,Bandarbeyla,80,SO,1550869161,100,9.49,50.81,78.0,13.02
72,Albany,90,US,1550869162,63,42.65,-73.75,37.4,9.17
73,Shache,0,CN,1550869163,70,38.42,77.24,18.24,1.95
74,Namatanai,20,PG,1550869164,96,-3.66,152.44,83.22,5.75
75,Viloco,32,BO,1550869166,66,-16.87,-67.5,62.61,1.95
76,Amga,68,RU,1550869167,63,60.89,131.98,-8.81,2.73
77,Tucuman,20,PE,1550869168,59,-17.17,-70.89,73.14,4.18
78,Adre,0,TD,1550869170,54,13.47,22.2,66.07,3.62
79,Nelson Bay,90,AU,1550869171,73,-32.72,152.14,69.8,10.29
80,Daru,56,SL,1550869172,55,7.99,-10.85,85.06,2.73
81,Coolum Beach,88,AU,1550869173,88,-26.53,153.09,74.67,11.45
82,Tabou,8,CI,1550869174,99,4.42,-7.36,82.86,7.2
83,Samarai,76,PG,1550869176,94,-10.62,150.67,83.71,13.13
84,Bonnyville,75,CA,1550869177,51,54.27,-110.74,10.4,3.36
85,Severo-Kurilsk,64,RU,1550869178,100,50.68,156.12,22.29,9.78
86,Pamekasan,32,ID,1550869180,100,-7.16,113.47,77.82,3.51
87,Amos,20,CA,1550869182,62,48.57,-78.12,23.0,6.93
88,Kamenka,80,RU,1550869184,90,53.19,44.05,24.99,11.01
89,San Antonio,0,CL,1550869187,68,-33.58,-71.61,77.0,16.11
90,Saint George,40,GR,1550869188,61,39.45,22.34,51.8,2.39
91,Cabildo,0,CL,1550869189,57,-32.43,-71.07,78.8,12.75
92,Sukhinichi,8,RU,1550869191,76,54.1,35.35,13.06,18.84
93,Solton,44,RU,1550869192,68,52.84,86.48,4.74,3.62
94,Lavrentiya,92,RU,1550869193,96,65.58,-170.99,31.96,27.67
95,Hasaki,75,JP,1550869194,87,35.73,140.83,44.6,13.87
96,Labuhan,76,ID,1550869196,97,-2.54,115.51,71.61,1.05
97,Hamilton,90,BM,1550869198,77,32.3,-64.78,68.0,11.41
98,Lorengau,76,PG,1550869199,96,-2.02,147.27,82.72,14.03
99,Lagos,20,NG,1550869201,83,6.46,3.39,84.2,9.17
100,Mar del Plata,0,AR,1550869202,45,-46.43,-67.52,61.71,8.1
101,Souris,20,CA,1550869213,62,46.36,-62.25,21.2,8.05
102,Voiron,0,FR,1550869215,76,45.37,5.59,53.6,10.29
103,Katsuura,75,JP,1550869216,61,33.93,134.5,48.2,21.92
104,Esperance,40,TT,1550869221,78,10.24,-61.45,78.8,11.41
105,Sao Desiderio,20,BR,1550869222,76,-12.36,-44.97,82.36,3.51
106,Hithadhoo,24,MV,1550869224,100,-0.6,73.08,82.41,9.78
107,Coquimbo,0,CL,1550869225,60,-29.95,-71.34,73.4,14.99
108,Bluff,36,AU,1550869226,47,-23.58,149.07,77.68,9.44
109,Ola,24,RU,1550869228,100,59.58,151.3,-5.8,8.1
110,Rurrenabaque,20,BO,1550869229,59,-14.44,-67.53,95.0,5.82
111,Bahia de Caraquez,40,EC,1550869230,74,-0.6,-80.42,86.0,17.22
112,Victoria,75,BN,1550869233,88,5.28,115.24,80.6,3.36
113,Khatanga,36,RU,1550869234,31,71.98,102.47,-21.55,2.95
114,Marawi,12,PH,1550869235,93,8.0,124.29,58.65,2.62
115,Souillac,0,FR,1550869236,62,45.6,-0.6,55.4,3.36
116,Dikson,44,RU,1550869237,75,73.51,80.55,-3.28,21.18
117,Turbat,88,PK,1550869240,65,26.0,63.05,53.97,3.96
118,Upernavik,92,GL,1550869241,100,72.79,-56.15,8.79,6.53
119,Port Elizabeth,1,US,1550869244,45,39.31,-74.98,46.4,9.17
120,Mongoumba,12,CD,1550869246,65,3.64,18.59,81.46,5.08
121,Batagay-Alyta,0,RU,1550869251,0,67.8,130.41,-44.41,3.18
122,Broken Hill,0,AU,1550869262,25,-31.97,141.45,66.2,8.05
123,Villa Bruzual,12,VE,1550869263,43,9.33,-69.12,91.14,5.75
124,Avarua,0,CK,1550869268,65,-21.21,-159.78,80.6,4.7
125,Sitka,80,US,1550869272,94,37.17,-99.65,41.14,11.23
126,Ribeira Grande,40,PT,1550869273,67,38.52,-28.7,57.2,18.34
127,Bambous Virieux,20,MU,1550869278,88,-20.34,57.76,77.0,3.36
128,Mwene-Ditu,92,CD,1550869279,96,-7.01,23.45,66.21,0.94
129,Zhigansk,20,RU,1550869280,61,66.77,123.37,-21.23,4.07
130,Olinda,75,EC,1550869281,74,-2.03,-79.75,86.0,6.93
131,Ippy,12,CF,1550869283,37,6.26,21.2,81.01,9.44
132,Cape Town,0,ZA,1550869284,93,-33.93,18.42,64.4,10.29
133,Nabire,20,ID,1550869285,90,-3.36,135.5,64.95,2.17
134,Chuy,24,UY,1550869287,65,-33.69,-53.46,89.34,5.19
135,Waingapu,8,ID,1550869288,99,-9.65,120.26,70.26,2.17
136,Longyearbyen,75,NO,1550869293,86,78.22,15.63,33.8,29.97
137,Ahipara,92,NZ,1550869294,99,-35.17,173.16,69.9,13.47
138,Bosaso,48,SO,1550869295,99,11.28,49.18,77.55,4.97
139,Berlevag,20,NO,1550869296,94,70.86,29.09,35.6,36.91
140,Bibiani,68,GH,1550869297,61,6.45,-2.31,83.67,5.75
141,Baft,44,IR,1550869299,69,29.23,56.61,17.61,3.51
142,Dingle,0,PH,1550869300,81,11.0,122.67,73.14,10.45
143,Sisimiut,80,GL,1550869301,85,66.94,-53.67,3.61,1.39
144,Mount Gambier,40,AU,1550869303,82,-37.83,140.78,55.4,9.17
145,Morant Bay,75,JM,1550869306,48,17.88,-76.41,84.2,21.92
146,Lagoa,0,PT,1550869307,72,37.14,-8.45,59.0,5.82
147,Richards Bay,36,ZA,1550869309,91,-28.77,32.06,73.09,6.2
148,Noumea,75,NC,1550869310,70,-22.28,166.46,84.2,6.93
149,Lakselv,75,NO,1550869311,87,70.05,24.96,33.8,34.45
150,Aklavik,20,CA,1550869313,76,68.22,-135.01,-4.01,6.64
151,Saldanha,0,PT,1550869314,76,41.42,-6.55,41.19,5.64
152,Jardim,36,BR,1550869319,69,-21.48,-56.15,87.99,5.19
153,Victoria,75,BN,1550869321,88,5.28,115.24,80.6,3.36
154,Tasiilaq,80,GL,1550869322,80,65.61,-37.64,33.8,23.04
155,Ancud,40,CL,1550869323,54,-41.87,-73.83,59.0,10.29
156,Meulaboh,48,ID,1550869325,100,4.14,96.13,79.35,5.41
157,Aleksandrov Gay,0,RU,1550869326,76,50.14,48.57,11.53,8.99
158,Syava,80,RU,1550869327,71,58.01,46.32,16.21,8.77
159,Awjilah,0,LY,1550869328,79,29.14,21.3,47.67,9.1
160,Pucallpa,0,PE,1550869330,51,-8.38,-74.54,90.51,2.73
161,Lebu,20,ET,1550869331,42,8.96,38.73,62.6,9.17
162,Mangan,32,IN,1550869332,86,27.5,88.54,19.86,0.6
163,Pichayevo,76,RU,1550869334,84,51.79,41.22,18.24,7.54
164,Cherskiy,44,RU,1550869335,38,68.75,161.3,-25.73,5.08
165,Castro,40,CL,1550869338,54,-42.48,-73.76,59.0,10.29
166,Torbay,20,CA,1550869339,44,47.66,-52.73,17.6,16.11
167,Inhambane,56,MZ,1550869343,94,-23.87,35.38,75.84,6.98
168,Tres Arroyos,92,AR,1550869348,81,-38.38,-60.28,69.54,9.1
169,Naze,44,NG,1550869349,85,5.43,7.07,77.68,6.98
170,Dukat,92,RS,1550869350,96,42.44,22.31,32.68,2.62
171,Vila Velha,75,BR,1550869353,83,-3.71,-38.6,78.8,3.36
172,Kahama,88,TZ,1550869354,97,-3.83,32.6,63.19,7.54
173,Preili,0,LV,1550869355,75,56.29,26.72,7.93,4.63
174,Pochutla,5,MX,1550869357,69,15.74,-96.47,82.4,11.41
175,Longyan,80,CN,1550869358,92,25.1,117.03,50.01,2.06
176,Coihaique,40,CL,1550869359,40,-45.58,-72.07,55.4,12.75
177,Ulagan,0,RU,1550869361,45,50.63,87.96,-11.69,2.62
178,Husavik,0,CA,1550869362,86,50.56,-96.99,8.29,8.55
179,East London,88,ZA,1550869363,96,-33.02,27.91,74.94,19.51
180,Sobolevo,0,RU,1550869365,71,54.43,31.9,18.06,17.72
181,Provideniya,92,RU,1550869366,97,64.42,-173.23,31.69,19.17
182,Nyakabindi,76,TZ,1550869367,97,-2.63,33.98,62.38,4.63
183,Bilma,0,NE,1550869368,27,18.69,12.92,64.14,9.44
184,Quatre Cocos,20,MU,1550869370,88,-20.21,57.76,77.0,3.36
185,Mikumi,80,TZ,1550869371,97,-7.4,36.98,67.78,2.39
186,Tera,20,CY,1550869372,81,34.97,32.42,51.8,8.05
187,Teknaf,0,BD,1550869373,84,20.86,92.31,65.44,3.74
188,Itarema,76,BR,1550869382,89,-2.92,-39.92,79.62,5.41
189,Camopi,64,GF,1550869384,80,3.17,-52.33,79.21,4.52
190,Yenagoa,44,NG,1550869386,78,4.92,6.26,79.8,7.09
191,Sao Filipe,0,CV,1550869387,88,14.9,-24.5,73.18,14.58
192,Tongliao,0,CN,1550869389,63,43.61,122.27,20.85,4.97
193,Komsomolskiy,32,RU,1550869390,66,67.55,63.78,-15.16,5.64
194,Zverinogolovskoye,88,RU,1550869392,88,54.46,64.85,25.93,17.6
195,Kruisfontein,0,ZA,1550869393,87,-34.0,24.73,66.57,9.66
196,Caravelas,0,BR,1550869394,100,-17.73,-39.27,83.44,12.01
197,Hazorasp,0,UZ,1550869396,80,41.32,61.08,35.6,4.7
198,Anito,0,PH,1550869397,97,12.45,125.29,78.72,16.04
199,Saint-Philippe,90,CA,1550869398,50,45.36,-73.48,33.8,5.82
200,Semey,0,KZ,1550869400,66,50.41,80.25,2.53,3.51
201,Victoria Point,40,AU,1550869403,60,-27.58,153.3,73.4,23.04
202,Tezu,80,IN,1550869404,92,27.93,96.16,52.84,1.72
203,Shingu,92,JP,1550869406,100,33.72,135.99,50.01,7.54
204,Macklin,36,CA,1550869408,90,52.34,-109.94,13.51,5.97
205,Nicoya,20,CR,1550869409,41,10.15,-85.45,95.0,13.87
206,Kangaatsiaq,80,GL,1550869410,100,68.31,-53.46,14.23,20.18
207,San Javier,0,ES,1550869412,81,37.81,-0.83,51.8,5.82
208,Grand-Santi,88,GF,1550869413,55,4.27,-54.38,85.92,3.51
209,La Ronge,75,CA,1550869415,56,55.1,-105.3,14.0,10.29
210,Rorvik,75,NO,1550869417,100,64.86,11.24,44.6,24.16
211,Lompoc,1,US,1550869418,86,34.64,-120.46,57.2,4.7
212,Yerbogachen,68,RU,1550869419,77,61.28,108.01,18.42,8.55
213,Kupang,88,ID,1550869420,100,-10.16,123.6,78.36,2.06
214,Marrakesh,0,MA,1550869421,38,31.63,-7.99,66.2,4.7
215,Marsh Harbour,0,BS,1550869423,97,26.54,-77.06,77.23,14.47
216,Nalut,0,LY,1550869424,86,31.86,10.98,43.26,4.63
217,Mersing,64,MY,1550869425,81,2.43,103.84,79.93,9.44
218,Waynesville,90,US,1550869427,100,37.83,-92.2,39.2,6.93
219,Kavieng,68,PG,1550869428,100,-2.57,150.8,82.27,6.53
220,Gisborne,100,NZ,1550869429,98,-38.66,178.02,65.94,6.98
221,Carbonear,20,CA,1550869434,44,47.73,-53.24,17.6,16.11
222,Zhezkazgan,0,KZ,1550869435,79,47.8,67.71,9.87,9.55
223,Beringovskiy,56,RU,1550869436,86,63.05,179.32,31.47,15.82
224,Maniitsoq,80,GL,1550869438,88,65.42,-52.9,13.74,4.07
225,Mahebourg,20,MU,1550869443,88,-20.41,57.7,77.0,3.36
226,Dejen,64,ET,1550869444,85,10.16,38.15,56.49,1.39
227,Saint-Pierre,0,FR,1550869446,81,48.95,4.24,48.2,12.75
228,Kirksville,90,US,1550869447,64,40.19,-92.58,37.4,13.87
229,Pisco,90,PE,1550869448,30,-13.71,-76.2,71.6,24.16
230,Havre-Saint-Pierre,20,CA,1550869449,34,50.23,-63.6,19.4,17.22
231,Filadelfia,0,PY,1550869452,34,-22.35,-60.04,100.86,9.66
232,Touros,40,BR,1550869453,79,-5.2,-35.46,84.2,8.05
233,Atambua,64,ID,1550869455,100,-9.11,124.89,76.2,0.72
234,Isangel,8,VU,1550869456,93,-19.55,169.27,83.94,10.67
235,Buala,44,SB,1550869459,98,-8.15,159.59,80.34,6.64
236,Deli Tua,20,ID,1550869461,86,3.5,98.69,73.63,2.95
237,Broome,75,GB,1550869463,100,52.47,1.45,50.0,6.93
238,Khandagayty,0,MN,1550869464,49,50.73,92.07,-6.43,2.95
239,San Patricio,0,PY,1550869466,45,-26.98,-56.83,95.32,2.62
240,Abalak,0,NE,1550869468,15,15.46,6.28,74.89,11.23
241,Belmonte,8,PT,1550869471,85,40.36,-7.35,42.9,3.62
242,Norman Wells,75,CA,1550869472,77,65.28,-126.83,1.4,14.99
243,Adrar,0,DZ,1550869473,20,27.87,-0.29,66.2,16.11
244,Kitimat,90,CA,1550869475,84,54.02,-128.69,33.8,4.7
245,Sovetskaya,44,RU,1550869476,88,44.78,41.17,31.69,3.62
246,Orlik,20,RU,1550869477,62,52.51,99.83,-12.23,2.17
247,Pereleshino,90,RU,1550869478,78,51.74,40.14,17.6,6.71
248,Saskylakh,32,RU,1550869480,33,71.97,114.09,-22.99,2.73
249,Bakchar,76,RU,1550869481,82,57.02,82.07,19.14,6.76
250,Merta,56,IN,1550869482,44,26.65,74.03,56.85,8.99
251,Neiafu,20,TO,1550869483,65,-18.65,-173.98,80.6,8.05
252,Birao,0,CF,1550869485,32,10.3,22.78,73.05,8.55
253,Nishihara,20,JP,1550869486,76,35.74,139.53,46.4,8.05
254,Plouzane,0,FR,1550869487,57,48.38,-4.62,53.6,10.29
255,Saint Lawrence,20,MT,1550869488,71,36.06,14.2,55.4,13.87
256,Caucaia,75,BR,1550869490,83,-3.73,-38.66,78.8,3.36
257,Kudahuvadhoo,80,MV,1550869491,97,2.67,72.89,83.85,14.25
258,Cayenne,100,GF,1550869492,74,4.94,-52.33,80.6,6.93
259,Fortuna,0,ES,1550869493,76,38.18,-1.13,51.8,5.82
260,Kodiak,90,US,1550869495,25,39.95,-94.76,37.4,13.87
261,La Plata,0,AR,1550869497,69,-34.92,-57.95,87.8,11.41
262,Oranjestad,20,AW,1550869500,65,12.52,-70.03,82.4,28.86
263,Sabang,0,PH,1550869507,97,13.72,123.58,72.06,7.76
264,Deputatskiy,12,RU,1550869508,50,69.3,139.9,-31.58,6.42
265,Nchelenge,76,ZM,1550869511,100,-9.35,28.74,65.62,1.5
266,Nanortalik,12,GL,1550869512,100,60.14,-45.24,23.32,7.2
267,Mitsamiouli,20,KM,1550869514,74,-11.38,43.28,82.4,3.36
268,Weatherford,90,US,1550869515,87,32.76,-97.8,51.8,6.93
269,Santa Maria da Vitoria,24,BR,1550869516,46,-13.39,-44.19,85.69,6.53
270,Hervey Bay,12,AU,1550869518,52,-25.3,152.85,69.8,8.05
271,Matagami,36,NG,1550869519,75,9.67,8.4,72.46,4.07
272,Chara,40,GR,1550869520,61,39.42,22.43,51.8,2.39
273,Plettenberg Bay,0,ZA,1550869522,95,-34.05,23.37,67.33,4.63
274,Port Shepstone,88,ZA,1550869523,89,-30.74,30.45,74.17,13.69
275,Nome,90,US,1550869524,78,30.04,-94.42,77.0,11.41
276,Charcas,32,MX,1550869525,40,23.13,-101.11,67.69,19.62
277,Kirakira,76,SB,1550869527,100,-10.46,161.92,79.48,6.98
278,Port-Gentil,20,GA,1550869528,83,-0.72,8.78,82.4,5.82
279,Half Moon Bay,20,US,1550869530,29,37.46,-122.43,53.6,6.53
280,Fandriana,92,MG,1550869532,98,-20.24,47.38,62.7,2.51
281,Astana,0,KZ,1550869536,84,51.13,71.43,1.4,4.47
282,Chinsali,56,ZM,1550869537,93,-10.55,32.07,62.11,2.73
283,Ninghai,75,CN,1550869540,86,29.29,121.42,39.2,6.71
284,Dauphin,1,CA,1550869541,66,51.15,-100.04,10.4,3.36
285,Xinqing,0,CN,1550869542,61,48.28,129.53,3.3,3.74
286,Bay Roberts,20,CA,1550869544,44,47.58,-53.28,17.6,16.11
287,Roald,75,NO,1550869545,71,62.58,6.12,51.8,16.11
288,Tomatlan,92,MX,1550869546,64,19.93,-105.25,78.13,4.74
289,La Rioja,8,AR,1550869547,39,-29.41,-66.86,96.45,3.74
290,Chapais,20,CA,1550869553,61,49.78,-74.86,12.2,5.82
291,Quanzhou,90,CN,1550869554,76,24.9,118.59,57.2,13.42
292,Egvekinot,80,RU,1550869556,85,66.32,-179.17,5.46,2.95
293,Santa Cruz del Sur,24,CU,1550869557,57,20.71,-78.0,86.01,11.45
294,Kapit,80,MY,1550869558,97,2.02,112.94,73.72,2.17
295,Otane,88,NZ,1550869560,99,-39.89,176.62,62.29,3.74
296,Bayan,36,MN,1550869561,47,47.25,107.54,-1.12,3.4
297,Severnoye,76,RU,1550869562,87,54.09,52.54,19.59,11.01
298,Palmer,0,AU,1550869573,52,-34.85,139.16,66.2,6.98
299,Ilulissat,75,GL,1550869577,71,69.22,-51.1,6.8,4.7
300,Tyret Pervaya,64,RU,1550869578,77,53.67,102.31,10.27,4.07
301,Bahia Honda,68,CU,1550869580,48,22.9,-83.16,85.78,5.75
302,Ketchikan,20,US,1550869581,70,55.34,-131.65,42.8,16.11
303,Axim,24,GH,1550869583,96,4.87,-2.24,83.31,12.12
304,Solnechnyy,0,RU,1550869588,59,50.72,136.64,-2.29,3.62
305,Reitz,88,ZA,1550869589,54,-27.8,28.43,69.54,3.51
306,Sault Sainte Marie,90,CA,1550869591,59,46.49,-84.36,33.8,9.17
307,Bernay,0,FR,1550869593,53,49.09,0.6,51.8,5.82
308,Balkanabat,0,TM,1550869595,70,39.51,54.36,27.91,2.06
309,Loandjili,20,CG,1550869596,94,-4.77,11.87,78.8,6.93
310,Namibe,80,AO,1550869600,100,-15.19,12.15,76.24,5.19
311,Ojinaga,1,US,1550869602,14,29.56,-104.41,75.2,24.16
312,Vila,0,IT,1550869604,23,45.18,8.4,62.6,19.46
313,Coahuayana,64,MX,1550869605,24,18.62,-100.35,86.01,3.18
314,Pangody,24,RU,1550869607,67,65.85,74.49,-15.16,6.42
315,Peniche,0,PT,1550869608,67,39.36,-9.38,60.8,4.7
316,Bubaque,0,GW,1550869609,74,11.28,-15.83,87.0,14.81
317,San Miguel,0,AR,1550869612,69,-34.54,-58.72,87.8,11.41
318,Padang,0,ID,1550869614,100,-0.92,100.36,82.81,2.17
319,Cabo San Lucas,20,MX,1550869615,45,22.89,-109.91,71.6,11.41
320,Narsaq,40,GL,1550869616,57,60.91,-46.05,21.2,6.93
321,Pitimbu,20,BR,1550869619,74,-7.47,-34.81,84.2,9.17
322,College,90,US,1550869620,70,64.86,-147.8,8.6,4.7
323,Alekseyevsk,80,RU,1550869621,76,57.84,108.35,22.11,5.64
324,Guerrero Negro,24,MX,1550869622,100,27.97,-114.04,55.27,15.26
325,Tambo,0,AU,1550869624,37,-24.88,146.25,74.49,14.03
326,Cururupu,88,BR,1550869625,81,-1.82,-44.87,81.37,6.64
327,Sur,44,OM,1550869627,100,22.57,59.53,68.91,8.66
328,Praya,20,ID,1550869628,100,-8.71,116.27,73.4,2.17
329,Grindavik,40,IS,1550869630,81,63.84,-22.43,46.4,35.57
330,Deming,90,US,1550869634,93,32.27,-107.76,57.2,24.16
331,Durango,90,US,1550869635,100,37.28,-107.88,37.4,8.05
332,Tautira,75,PF,1550869636,79,-17.73,-149.15,84.2,13.87
333,Paka,0,HR,1550869647,64,45.29,18.06,32.0,14.99
334,Galle,90,US,1550869648,100,29.74,-97.91,62.6,4.7
335,Georgiyevka,88,RU,1550869649,89,52.25,40.45,18.19,12.01
336,Tual,24,ID,1550869651,100,-5.67,132.75,79.57,12.68
337,Nandu,24,CN,1550869652,91,31.44,119.33,33.8,2.24
338,Bilibino,56,RU,1550869654,66,68.06,166.44,-23.8,3.06
339,Ekhabi,0,RU,1550869656,90,53.51,142.97,-7.28,9.78
340,Faya,40,SA,1550869657,77,18.39,42.45,60.8,9.17
341,Newport,44,GB,1550869658,93,51.59,-3.0,44.6,11.41
342,Kainantu,32,PG,1550869660,95,-6.29,145.87,60.49,1.72
343,Lazaro Cardenas,5,MX,1550869662,14,28.39,-105.62,71.6,32.21
344,Ambulu,8,ID,1550869666,100,-8.35,113.61,78.04,4.07
345,Port Blair,0,IN,1550869667,100,11.67,92.75,81.87,6.08
346,Auray,0,FR,1550869669,62,47.67,-2.99,53.6,9.17
347,Danielskuil,20,ZA,1550869670,74,-28.19,23.54,64.05,3.51
348,Waipawa,88,NZ,1550869671,95,-39.94,176.59,62.29,6.42
349,Nyurba,64,RU,1550869673,75,63.29,118.35,-3.55,3.96
350,Dayong,0,PH,1550869674,99,11.74,122.04,78.58,17.05
351,Wuwei,8,CN,1550869677,54,37.93,102.64,6.94,4.52
352,Bagdarin,0,RU,1550869692,60,54.44,113.59,13.33,11.23
353,Sukumo,64,JP,1550869694,98,32.94,132.72,47.26,11.56
354,Scarborough,44,GB,1550869695,87,54.28,-0.41,50.0,4.7
355,Sandy Bay,75,AU,1550869696,66,-42.9,147.33,55.4,16.11
356,Bayangol,68,MN,1550869698,78,48.91,106.09,12.12,4.97
357,Port Loko,68,SL,1550869699,74,8.77,-12.79,82.4,8.05
358,Dongsheng,48,CN,1550869700,81,29.72,112.52,32.64,3.51
359,Port Lincoln,0,AU,1550869702,95,-34.72,135.86,66.43,12.24
360,Am Timan,12,TD,1550869703,34,11.04,20.28,75.3,4.41
361,Macomer,0,IT,1550869705,93,40.26,8.77,46.4,5.82
362,Laguna,75,MX,1550869706,40,27.52,-110.01,69.8,19.46
363,Nuuk,75,GL,1550869707,78,64.17,-51.74,15.8,4.7
364,Portland,90,US,1550869708,60,45.52,-122.67,41.0,6.93
365,Koani,75,TZ,1550869710,83,-6.13,39.28,80.6,4.7
366,Yaan,68,NG,1550869711,59,7.38,8.57,84.39,11.23
367,Ouidah,40,BJ,1550869712,83,6.37,2.09,84.2,12.75
368,Qasigiannguit,75,GL,1550869714,71,68.82,-51.19,6.8,4.7
369,Vila Franca do Campo,20,PT,1550869715,62,37.72,-25.43,57.2,16.11
370,Constitucion,75,MX,1550869716,8,23.99,-104.67,69.8,20.8
371,Baijiantan,68,CN,1550869717,57,45.63,85.18,5.41,2.95
372,Chagoda,8,RU,1550869720,75,59.16,35.33,9.87,6.98
373,Palmas,20,BR,1550869721,74,-10.18,-48.33,82.4,5.82
